Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
mRNA Processing	Ppp1r8	1.28393534	6.07798606	0.798913043	0.76891778	168.6603415	1.978095238				
mRNA Processing	Thoc1	0.80153216	2.26445682	1.777777778	1.00694047	16.56531065	1.970315399				
mRNA Processing	Prpf38a	0.72559455	2.9691767	0.924731183	0.55074096	76.15033023	1.932811781				
mRNA Processing	Scaf1	0.79969958	122.801125	0.936	0.31115361	3.19157153	1.929078014				
mRNA Processing	Cwc25	0.4637928	1.12665531	1.219461698	0.48602915	28.2974277	1.916531165				
mRNA Processing	Kin	0.51386242	2.27150407	1.464530892	0.4522024	2.37478614	1.904939422				
mRNA Processing	Prpf6	0.23511865	0.4282081	1.326923077	0.19359608	0.70378889	1.87296748				
mRNA Processing	Snrnp25	1.23672067	20.81084836	3.484848485	0.39345999	7.53383034	1.85				
mRNA Processing	Prmt5	2.40492468	8.20371247	14.66666667	0.84509448	160.6150528	1.848214286				
mRNA Processing	Pdcd11	0.98980992	1.67395819	1.710743802	0.41078618	1.41398316	1.84				
mRNA Processing	BC005624	0.5605142	2.03425335	2.864583333	0.30776041	0.93315236	1.814058957				
mRNA Processing	Cpsf3	1.78441141	275.5796145	1.435714286	1.1972155	220.9035414	1.810865191				
mRNA Processing	Lsm11	0.31883027	9.01873586	3.429824561	0.30477631	51.74707382	1.805662806				
mRNA Processing	Sltm	0.76892034	1.01203702	0.920634921	0.54962339	2.63814467	1.80353902				
mRNA Processing	Bud31	1.50436097	258.2017997	0.402777778	1.32860335	127.7161942	1.774193548				
mRNA Processing	Scnm1	1.18275756	5.2270493	0.869179601	0.27947028	0.87578009	1.774193548				
mRNA Processing	Cpsf2	0.78176684	1.04455209	0.327380952	0.67818465	2.30189444	1.772345679				
mRNA Processing	Zfp830	0.23499056	0.43804115	0.679012346	0.1048136	0.46415739	1.764705882				
mRNA Processing	Scaf11	1.43553747	2.44074419	1.775	0.49803655	3.59268746	1.725490196				
mRNA Processing	Srsf3	2.28739859	334.7500408	3.095238095	1.2160692	79.81166529	1.708291708				
mRNA Processing	Rbm6	0.68901352	12.21978261	1.08	0.48575674	26.50305579	1.705167173				
mRNA Processing	Hnrnpc	0.24018381	1.61203391	2.555555556	0.23006359	6.43491117	1.700367647				
mRNA Processing	Gemin7	1.28951357	100.9609957	0.641447368	1.05651617	7.02061803	1.663768116				
mRNA Processing	Tbrg4	1.75981551	3.61900487	1.783625731	1.31008203	313.1924856	1.647950089				
